YIELDCURVE,,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UNDERLYING_YIELD_CURVE,UNDERLYING_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,INTERPOLATION_TYPE,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Default,JPY,,JPY-FX,COLL-USD,DiscType,Boot Strap,Default,Flat,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Continuous,JPY-TONA,JPY-TONA,60,1,JPY-COLL-USD,Spread,USD-JPY/FXS/ON,Linear RT,0.000506943,,Up,End Date,USD-JPY/FXS/11M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/TN,Linear RT,0.000282434,,Up,End Date,USD-JPY/FXS/10M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/SN,Linear RT,0.000122393,,Up,End Date,USD-JPY/FXS/9M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/1W,Linear RT,-0.000564433,,Up,End Date,USD-JPY/FXS/8M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/2W,Linear RT,-0.00087712,,Up,End Date,USD-JPY/FXS/7M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/3W,Linear RT,-0.001063138,,Up,End Date,USD-JPY/FXS/6M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/1M,Linear RT,-0.001407897,,Up,End Date,USD-JPY/FXS/5M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/2M,Linear RT,-0.005454383,,Up,End Date,USD-JPY/FXS/4M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/3M,Linear RT,-0.004691638,,Up,End Date,USD-JPY/FXS/3M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/4M,Linear RT,-0.004243644,,Up,End Date,USD-JPY/FXS/2M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/5M,Linear RT,-0.004276878,,Up,End Date,USD-JPY/FXS/1M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/6M,Linear RT,-0.004147468,,Up,End Date,USD-JPY/FXS/3W,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/7M,Linear RT,-0.004122582,,Up,End Date,USD-JPY/FXS/2W,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/8M,Linear RT,-0.004164902,,Up,End Date,USD-JPY/FXS/1W,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/9M,Linear RT,-0.004152747,,Up,End Date,USD-JPY/FXS/SN,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/10M,Linear RT,-0.004151088,,Up,End Date,USD-JPY/FXS/TN,1,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/11M,Linear RT,-0.004245823,,Up,End Date,USD-JPY/FXS/ON,2,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/1Y,,-0.003951369,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/30Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/2Y,,-0.004472815,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/20Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/3Y,,-0.004916185,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/15Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/4Y,,-0.005268245,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/12Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/5Y,,-0.005519276,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/10Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/6Y,,-0.005719384,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/9Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/7Y,,-0.005881615,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/8Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/8Y,,-0.00600631,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/7Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/9Y,,-0.006093772,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/6Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/10Y,,-0.006180764,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/5Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/12Y,,-0.006354092,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/4Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/15Y,,-0.006612526,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/3Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/20Y,,-0.006945692,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/2Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY-USD/CCS/TO1D-SO1D/30Y,,-0.007087015,,Up,End Date,JPY-USD/CCS/TO1D-SO1D/1Y,,No,,
