YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,JPY,,Boot Strap,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,MUTKCALM,JPY/TONA,Interest Rate,Spot Rate,Act/365,Continuous,60,1,JPY-TONA,Benchmark,MUTKCALM,JPY/TONA,-0.000420000724929,,Up,End Date,,JPY/IRS/TO1D-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/1M,-0.000401849245044,,Up,End Date,,JPY/IRS/TO1D-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/2M,-0.000389358223896,,Up,End Date,,JPY/IRS/TO1D-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/3M,-0.000388814024256,,Up,End Date,,JPY/IRS/TO1D-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/4M,-0.000388498910984,,Up,End Date,,JPY/IRS/TO1D-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/5M,-0.000388306800364,,Up,End Date,,JPY/IRS/TO1D-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/6M,-0.000388191754439,,Up,End Date,,JPY/IRS/TO1D-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/7M,-0.000375835699957,,Up,End Date,,JPY/IRS/TO1D-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/8M,-0.000375739204876,,Up,End Date,,JPY/IRS/TO1D-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,JPY/IRS/TO1D-F/9M,-0.000375670205704,,Up,End Date,,JPY/IRS/TO1D-F/6Y,No,,
