CALENDAR,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
NZAU,Auckland,Nov2021: Updated to 2051,192,2016-01-01,New Year's Day,,
,,,,2016-01-04,New Year's Obs. OBS,,
,,,,2016-02-01,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2016-02-08,Waitangi Day OBS,,
,,,,2016-03-25,Good Friday,,
,,,,2016-03-28,Easter Monday,,
,,,,2016-04-25,ANZAC Day,,
,,,,2016-06-06,Queen's Birthday,,
,,,,2016-10-24,Labour Day,,
,,,,2016-12-26,Christmas Day OBS,,
,,,,2016-12-27,Boxing Day OBS,,
,,,,2017-01-02,New Year's Day OBS,,
,,,,2017-01-03,New Year's Obs. OBS,,
,,,,2017-01-30,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2017-02-06,Waitangi Day,,
,,,,2017-04-14,Good Friday,,
,,,,2017-04-17,Easter Monday,,
,,,,2017-04-25,ANZAC Day,,
,,,,2017-06-05,Queen's Birthday,,
,,,,2017-10-23,Labour Day,,
,,,,2017-12-25,Christmas Day,,
,,,,2017-12-26,Boxing Day,,
,,,,2018-01-01,New Year's Day,,
,,,,2018-01-02,New Year's Obs.,,
,,,,2018-01-29,Auckland Ann. (FX and Money Mkt),,
,,,,2018-02-06,Waitangi Day,,
,,,,2018-03-30,Good Friday,,
,,,,2018-04-02,Easter Monday,,
,,,,2018-04-25,ANZAC Day,,
,,,,2018-06-04,Queen's Birthday,,
,,,,2018-10-22,Labour Day,,
,,,,2018-12-25,Christmas Day,,
,,,,2018-12-26,Boxing Day,,
,,,,2019-01-01,New Year's Day,,
,,,,2019-01-02,New Year's Obs.,,
,,,,2019-01-28,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2019-02-06,Waitangi Day,,
,,,,2019-04-19,Good Friday,,
,,,,2019-04-22,Easter Monday,,
,,,,2019-04-25,ANZAC Day,,
,,,,2019-06-03,Queen's Birthday,,
,,,,2019-10-28,Labour Day,,
,,,,2019-12-25,Christmas Day,,
,,,,2019-12-26,Boxing Day,,
,,,,2020-01-01,New Year's Day,,
,,,,2020-01-02,New Year's Obs.,,
,,,,2020-01-20,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2020-02-06,Waitangi Day,,
,,,,2020-04-10,Good Friday,,
,,,,2020-04-13,Easter Monday,,
,,,,2020-04-27,ANZAC Day OBS,,
,,,,2020-06-01,Queen's Birthday,,
,,,,2020-10-26,Labour Day,,
,,,,2020-12-25,Christmas Day,,
,,,,2020-12-28,Boxing Day OBS,,
,,,,2021-01-01,New Year's Day,,
,,,,2021-01-04,New Year's Obs. OBS,,
,,,,2021-02-01,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2021-02-08,Waitangi Day OBS,,
,,,,2021-04-02,Good Friday,,
,,,,2021-04-05,Easter Monday,,
,,,,2021-04-26,ANZAC Day OBS,,
,,,,2021-06-07,Queen's Birthday,,
,,,,2021-10-25,Labour Day,,
,,,,2021-12-27,Christmas Day OBS,,
,,,,2021-12-28,Boxing Day OBS,,
,,,,2022-01-03,New Year's Day OBS,,
,,,,2022-01-04,New Year's Obs. OBS,,
,,,,2022-01-31,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2022-02-07,Waitangi Day OBS,,
,,,,2022-04-15,Good Friday,,
,,,,2022-04-18,Easter Monday,,
,,,,2022-04-25,ANZAC Day,,
,,,,2022-06-06,Queen's Birthday,,
,,,,2022-10-24,Labour Day,,
,,,,2022-12-26,Christmas Day OBS,,
,,,,2022-12-27,Boxing Day OBS,,
,,,,2023-01-02,New Year's Day OBS,,
,,,,2023-01-03,New Year's Obs. OBS,,
,,,,2023-01-30,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2023-02-06,Waitangi Day,,
,,,,2023-04-07,Good Friday,,
,,,,2023-04-10,Easter Monday,,
,,,,2023-04-25,ANZAC Day,,
,,,,2023-06-05,Queen's Birthday,,
,,,,2023-10-23,Labour Day,,
,,,,2023-12-25,Christmas Day,,
,,,,2023-12-26,Boxing Day,,
,,,,2024-01-01,New Year's Day,,
,,,,2024-01-02,New Year's Obs.,,
,,,,2024-01-29,Auckland Ann. (FX and Money Mkt),,
,,,,2024-02-06,Waitangi Day,,
,,,,2024-03-29,Good Friday,,
,,,,2024-04-01,Easter Monday,,
,,,,2024-04-25,ANZAC Day,,
,,,,2024-06-03,Queen's Birthday,,
,,,,2024-10-28,Labour Day,,
,,,,2024-12-25,Christmas Day,,
,,,,2024-12-26,Boxing Day,,
,,,,2025-01-01,New Year's Day,,
,,,,2025-01-02,New Year's Obs.,,
,,,,2025-01-27,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2025-02-06,Waitangi Day,,
,,,,2025-04-18,Good Friday,,
,,,,2025-04-21,Easter Monday,,
,,,,2025-04-25,ANZAC Day,,
,,,,2025-06-02,Queen's Birthday,,
,,,,2025-10-27,Labour Day,,
,,,,2025-12-25,Christmas Day,,
,,,,2025-12-26,Boxing Day,,
,,,,2026-01-01,New Year's Day,,
,,,,2026-01-02,New Year's Obs.,,
,,,,2026-01-26,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2026-02-06,Waitangi Day,,
,,,,2026-04-03,Good Friday,,
,,,,2026-04-06,Easter Monday,,
,,,,2026-04-27,ANZAC Day OBS,,
,,,,2026-06-01,Queen's Birthday,,
,,,,2026-10-26,Labour Day,,
,,,,2026-12-25,Christmas Day,,
,,,,2026-12-28,Boxing Day OBS,,
,,,,2027-01-01,New Year's Day,,
,,,,2027-01-04,New Year's Obs. OBS,,
,,,,2027-02-01,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2027-02-08,Waitangi Day OBS,,
,,,,2027-03-26,Good Friday,,
,,,,2027-03-29,Easter Monday,,
,,,,2027-04-26,ANZAC Day OBS,,
,,,,2027-06-07,Queen's Birthday,,
,,,,2027-10-25,Labour Day,,
,,,,2027-12-27,Christmas Day OBS,,
,,,,2027-12-28,Boxing Day OBS,,
,,,,2028-01-03,New Year's Day OBS,,
,,,,2028-01-04,New Year's Obs. OBS,,
,,,,2028-01-31,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2028-02-07,Waitangi Day OBS,,
,,,,2028-04-14,Good Friday,,
,,,,2028-04-17,Easter Monday,,
,,,,2028-04-25,ANZAC Day,,
,,,,2028-06-05,Queen's Birthday,,
,,,,2028-10-23,Labour Day,,
,,,,2028-12-25,Christmas Day,,
,,,,2028-12-26,Boxing Day,,
,,,,2029-01-01,New Year's Day,,
,,,,2029-01-02,New Year's Obs.,,
,,,,2029-01-29,Auckland Ann. (FX and Money Mkt),,
,,,,2029-02-06,Waitangi Day,,
,,,,2029-03-30,Good Friday,,
,,,,2029-04-02,Easter Monday,,
,,,,2029-04-25,ANZAC Day,,
,,,,2029-06-04,Queen's Birthday,,
,,,,2029-10-22,Labour Day,,
,,,,2029-12-25,Christmas Day,,
,,,,2029-12-26,Boxing Day,,
,,,,2030-01-01,New Year's Day,,
,,,,2030-01-02,New Year's Obs.,,
,,,,2030-01-28,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2030-02-06,Waitangi Day,,
,,,,2030-04-19,Good Friday,,
,,,,2030-04-22,Easter Monday,,
,,,,2030-04-25,ANZAC Day,,
,,,,2030-06-03,Queen's Birthday,,
,,,,2030-10-28,Labour Day,,
,,,,2030-12-25,Christmas Day,,
,,,,2030-12-26,Boxing Day,,
,,,,2031-01-01,New Year's Day,,
,,,,2031-01-02,New Year's Obs.,,
,,,,2031-01-27,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2031-02-06,Waitangi Day,,
,,,,2031-04-11,Good Friday,,
,,,,2031-04-14,Easter Monday,,
,,,,2031-04-25,ANZAC Day,,
,,,,2031-06-02,Queen's Birthday,,
,,,,2031-10-27,Labour Day,,
,,,,2031-12-25,Christmas Day,,
,,,,2031-12-26,Boxing Day,,
,,,,2032-01-01,New Year's Day,,
,,,,2032-01-02,New Year's Obs.,,
,,,,2032-02-06,Waitangi Day,,
,,,,2032-03-26,Good Friday,,
,,,,2032-03-29,Easter Monday,,
,,,,2032-04-26,ANZAC Day OBS,,
,,,,2032-06-07,Queen's Birthday,,
,,,,2032-10-25,Labour Day,,
,,,,2032-12-27,Christmas Day OBS,,
,,,,2032-12-28,Boxing Day OBS,,
,,,,2033-01-03,New Year's Day OBS,,
,,,,2033-01-04,New Year's Obs. OBS,,
,,,,2033-01-31,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2033-02-07,Waitangi Day OBS,,
,,,,2033-04-15,Good Friday,,
,,,,2033-04-18,Easter Monday,,
,,,,2033-04-25,ANZAC Day,,
,,,,2033-06-06,Queen's Birthday,,
,,,,2033-10-24,Labour Day,,
,,,,2033-12-26,Christmas Day OBS,,
,,,,2033-12-27,Boxing Day OBS,,
,,,,2034-01-02,New Year's Day OBS,,
,,,,2034-01-03,New Year's Obs. OBS,,
,,,,2034-01-30,Auckland Ann. (FX and Money Mkt) OBS,,
,,,,2034-02-06,Waitangi Day,,
