CALENDAR,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
GBLO,London,Nov2021: Updated to 2051,192,2016-03-25,Good Friday,,
,,,,2016-03-28,Easter Monday,,
,,,,2016-05-02,Early May Bank Holiday,,
,,,,2016-05-30,Late May Bank Holiday,,
,,,,2016-08-29,Summer Bank Holiday,,
,,,,2016-12-27,Boxing Day OBS,,
,,,,2017-01-02,New Year's Day OBS,,
,,,,2017-04-14,Good Friday,,
,,,,2017-04-17,Easter Monday,,
,,,,2017-05-01,Early May Bank Holiday,,
,,,,2017-05-29,Late May Bank Holiday,,
,,,,2017-08-28,Summer Bank Holiday,,
,,,,2018-03-30,Good Friday,,
,,,,2018-04-02,Easter Monday,,
,,,,2018-05-07,Early May Bank Holiday,,
,,,,2018-05-28,Late May Bank Holiday,,
,,,,2018-08-27,Summer Bank Holiday,,
,,,,2019-04-19,Good Friday,,
,,,,2019-04-22,Easter Monday,,
,,,,2019-05-06,Early May Bank Holiday,,
,,,,2019-05-27,Late May Bank Holiday,,
,,,,2019-08-26,Summer Bank Holiday,,
,,,,2020-04-10,Good Friday,,
,,,,2020-04-13,Easter Monday,,
,,,,2020-05-08,Early May Bank Holiday,,
,,,,2020-05-25,Late May Bank Holiday,,
,,,,2020-08-31,Summer Bank Holiday,,
,,,,2020-12-28,Boxing Day OBS,,
,,,,2021-04-02,Good Friday,,
,,,,2021-04-05,Easter Monday,,
,,,,2021-05-03,Early May Bank Holiday,,
,,,,2021-05-31,Late May Bank Holiday,,
,,,,2021-08-30,Summer Bank Holiday,,
,,,,2021-12-27,Christmas OBS,,
,,,,2021-12-28,Boxing Day OBS,,
,,,,2022-01-03,New Year's Day OBS,,
,,,,2022-04-15,Good Friday,,
,,,,2022-04-18,Easter Monday,,
,,,,2022-05-02,Early May Bank Holiday,,
,,,,2022-08-29,Summer Bank Holiday,,
,,,,2022-12-27,Boxing Day OBS,,
,,,,2023-01-02,New Year's Day OBS,,
,,,,2023-04-07,Good Friday,,
,,,,2023-04-10,Easter Monday,,
,,,,2023-05-01,Early May Bank Holiday,,
,,,,2023-05-29,Late May Bank Holiday,,
,,,,2023-08-28,Summer Bank Holiday,,
,,,,2024-03-29,Good Friday,,
,,,,2024-04-01,Easter Monday,,
,,,,2024-05-06,Early May Bank Holiday,,
,,,,2024-05-27,Late May Bank Holiday,,
,,,,2024-08-26,Summer Bank Holiday,,
,,,,2025-04-18,Good Friday,,
,,,,2025-04-21,Easter Monday,,
,,,,2025-05-05,Early May Bank Holiday,,
,,,,2025-05-26,Late May Bank Holiday,,
,,,,2025-08-25,Summer Bank Holiday,,
,,,,2026-04-03,Good Friday,,
,,,,2026-04-06,Easter Monday,,
,,,,2026-05-04,Early May Bank Holiday,,
,,,,2026-05-25,Late May Bank Holiday,,
,,,,2026-08-31,Summer Bank Holiday,,
,,,,2026-12-28,Boxing Day OBS,,
,,,,2027-03-26,Good Friday,,
,,,,2027-03-29,Easter Monday,,
,,,,2027-05-03,Early May Bank Holiday,,
,,,,2027-05-31,Late May Bank Holiday,,
,,,,2027-08-30,Summer Bank Holiday,,
,,,,2027-12-27,Christmas OBS,,
,,,,2027-12-28,Boxing Day OBS,,
,,,,2028-01-03,New Year's Day OBS,,
,,,,2028-04-14,Good Friday,,
,,,,2028-04-17,Easter Monday,,
,,,,2028-05-01,Early May Bank Holiday,,
,,,,2028-05-29,Late May Bank Holiday,,
,,,,2028-08-28,Summer Bank Holiday,,
,,,,2029-03-30,Good Friday,,
,,,,2029-04-02,Easter Monday,,
,,,,2029-05-07,Early May Bank Holiday,,
,,,,2029-05-28,Late May Bank Holiday,,
,,,,2029-08-27,Summer Bank Holiday,,
,,,,2030-04-19,Good Friday,,
,,,,2030-04-22,Easter Monday,,
,,,,2030-05-06,Early May Bank Holiday,,
,,,,2030-05-27,Late May Bank Holiday,,
,,,,2030-08-26,Summer Bank Holiday,,
,,,,2031-04-11,Good Friday,,
,,,,2031-04-14,Easter Monday,,
,,,,2031-05-05,Early May Bank Holiday,,
,,,,2031-05-26,Late May Bank Holiday,,
,,,,2031-08-25,Summer Bank Holiday,,
,,,,2032-03-26,Good Friday,,
,,,,2032-03-29,Easter Monday,,
,,,,2032-05-03,Early May Bank Holiday,,
,,,,2032-05-31,Late May Bank Holiday,,
,,,,2032-08-30,Summer Bank Holiday,,
,,,,2032-12-27,Christmas OBS,,
,,,,2032-12-28,Boxing Day OBS,,
,,,,2033-01-03,New Year's Day OBS,,
,,,,2033-04-15,Good Friday,,
,,,,2033-04-18,Easter Monday,,
,,,,2033-05-02,Early May Bank Holiday,,
,,,,2033-05-30,Late May Bank Holiday,,
,,,,2033-08-29,Summer Bank Holiday,,
,,,,2033-12-27,Boxing Day OBS,,
,,,,2034-01-02,New Year's Day OBS,,
,,,,2034-04-07,Good Friday,,
,,,,2034-04-10,Easter Monday,,
,,,,2034-05-01,Early May Bank Holiday,,
,,,,2034-05-29,Late May Bank Holiday,,
,,,,2034-08-28,Summer Bank Holiday,,
,,,,2035-03-23,Good Friday,,
,,,,2035-03-26,Easter Monday,,
,,,,2035-05-07,Early May Bank Holiday,,
,,,,2035-05-28,Late May Bank Holiday,,
,,,,2035-08-27,Summer Bank Holiday,,
,,,,2036-04-11,Good Friday,,
,,,,2036-04-14,Easter Monday,,
,,,,2036-05-05,Early May Bank Holiday,,
,,,,2036-05-26,Late May Bank Holiday,,
,,,,2036-08-25,Summer Bank Holiday,,
,,,,2037-04-03,Good Friday,,
,,,,2037-04-06,Easter Monday,,
,,,,2037-05-04,Early May Bank Holiday,,
,,,,2037-05-25,Late May Bank Holiday,,
,,,,2037-08-31,Summer Bank Holiday,,
,,,,2037-12-28,Boxing Day OBS,,
,,,,2038-04-23,Good Friday,,
,,,,2038-04-26,Easter Monday,,
,,,,2038-05-03,Early May Bank Holiday,,
,,,,2038-05-31,Late May Bank Holiday,,
,,,,2038-08-30,Summer Bank Holiday,,
,,,,2038-12-27,Christmas OBS,,
,,,,2038-12-28,Boxing Day OBS,,
,,,,2039-01-03,New Year's Day OBS,,
,,,,2039-04-08,Good Friday,,
,,,,2039-04-11,Easter Monday,,
,,,,2039-05-02,Early May Bank Holiday,,
,,,,2039-05-30,Late May Bank Holiday,,
,,,,2039-08-29,Summer Bank Holiday,,
,,,,2039-12-27,Boxing Day OBS,,
,,,,2040-01-02,New Year's Day OBS,,
,,,,2040-03-30,Good Friday,,
,,,,2040-04-02,Easter Monday,,
,,,,2040-05-07,Early May Bank Holiday,,
,,,,2040-05-28,Late May Bank Holiday,,
,,,,2040-08-27,Summer Bank Holiday,,
,,,,2041-04-19,Good Friday,,
,,,,2041-04-22,Easter Monday,,
,,,,2041-05-06,Early May Bank Holiday,,
,,,,2041-05-27,Late May Bank Holiday,,
,,,,2041-08-26,Summer Bank Holiday,,
,,,,2042-04-04,Good Friday,,
,,,,2042-04-07,Easter Monday,,
,,,,2042-05-05,Early May Bank Holiday,,
,,,,2042-05-26,Late May Bank Holiday,,
,,,,2042-08-25,Summer Bank Holiday,,
,,,,2043-03-27,Good Friday,,
,,,,2043-03-30,Easter Monday,,
,,,,2043-05-04,Early May Bank Holiday,,
,,,,2043-05-25,Late May Bank Holiday,,
,,,,2043-08-31,Summer Bank Holiday,,
,,,,2043-12-28,Boxing Day OBS,,
,,,,2044-04-15,Good Friday,,
,,,,2044-04-18,Easter Monday,,
,,,,2044-05-02,Early May Bank Holiday,,
,,,,2044-05-30,Late May Bank Holiday,,
,,,,2044-08-29,Summer Bank Holiday,,
,,,,2044-12-27,Boxing Day OBS,,
,,,,2045-01-02,New Year's Day OBS,,
,,,,2045-04-07,Good Friday,,
,,,,2045-04-10,Easter Monday,,
,,,,2045-05-01,Early May Bank Holiday,,
,,,,2045-05-29,Late May Bank Holiday,,
,,,,2045-08-28,Summer Bank Holiday,,
,,,,2046-03-23,Good Friday,,
,,,,2046-03-26,Easter Monday,,
,,,,2046-05-07,Early May Bank Holiday,,
,,,,2046-05-28,Late May Bank Holiday,,
,,,,2046-08-27,Summer Bank Holiday,,
,,,,2047-04-12,Good Friday,,
,,,,2047-04-15,Easter Monday,,
,,,,2047-05-06,Early May Bank Holiday,,
,,,,2047-05-27,Late May Bank Holiday,,
,,,,2047-08-26,Summer Bank Holiday,,
,,,,0001-01-01,New Year's Day,,
,,,,0001-12-25,Christmas Day,,
,,,,0001-12-26,Boxing Day,,
,,,,2000-01-03,,,
,,,,2016-01-01,,,
,,,,2016-12-26,,,
,,,,2017-12-25,,,
,,,,2017-12-26,,,
,,,,2018-01-01,,,
,,,,2018-12-25,,,
,,,,2018-12-26,,,
,,,,2019-01-01,,,
,,,,2019-12-25,,,
,,,,2019-12-26,,,
,,,,2020-01-01,,,
,,,,2020-12-25,,,
,,,,2021-01-01,,,
,,,,2022-12-26,,,
,,,,2023-12-25,,,
,,,,2023-12-26,,,
,,,,2024-01-01,,,
,,,,2024-12-25,,,
,,,,2024-12-26,,,
,,,,2025-01-01,,,
,,,,2025-12-25,,,
,,,,2025-12-26,,,
