CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
USNY,New York,Nov2021: Updated to 2051,2,192,2016-01-18,Martin Luther King Jr. Day,,
,,,,,2016-02-15,Presidents' Day,,
,,,,,2016-05-30,Memorial Day,,
,,,,,2016-09-05,Labor Day,,
,,,,,2016-10-10,Columbus Day,,
,,,,,2016-11-24,Thanksgiving,,
,,,,,2016-12-26,Christmas OBS,,
,,,,,2017-01-02,New Year's Day OBS,,
,,,,,2017-01-16,Martin Luther King Jr. Day,,
,,,,,2017-02-20,Presidents' Day,,
,,,,,2017-05-29,Memorial Day,,
,,,,,2017-09-04,Labor Day,,
,,,,,2017-10-09,Columbus Day,,
,,,,,2017-11-23,Thanksgiving,,
,,,,,2018-01-15,Martin Luther King Jr. Day,,
,,,,,2018-02-19,Presidents' Day,,
,,,,,2018-05-28,Memorial Day,,
,,,,,2018-09-03,Labor Day,,
,,,,,2018-10-08,Columbus Day,,
,,,,,2018-11-12,Veterans' Day OBS,,
,,,,,2018-11-22,Thanksgiving,,
,,,,,2019-01-21,Martin Luther King Jr. Day,,
,,,,,2019-02-18,Presidents' Day,,
,,,,,2019-05-27,Memorial Day,,
,,,,,2019-09-02,Labor Day,,
,,,,,2019-10-14,Columbus Day,,
,,,,,2019-11-28,Thanksgiving,,
,,,,,2020-01-20,Martin Luther King Jr. Day,,
,,,,,2020-02-17,Presidents' Day,,
,,,,,2020-05-25,Memorial Day,,
,,,,,2020-09-07,Labor Day,,
,,,,,2020-10-12,Columbus Day,,
,,,,,2020-11-26,Thanksgiving,,
,,,,,2021-01-18,Martin Luther King Jr. Day,,
,,,,,2021-02-15,Presidents' Day,,
,,,,,2021-05-31,Memorial Day,,
,,,,,2021-07-05,Independence Day OBS,,
,,,,,2021-09-06,Labor Day,,
,,,,,2021-10-11,Columbus Day,,
,,,,,2021-11-25,Thanksgiving,,
,,,,,2022-01-17,Martin Luther King Jr. Day,,
,,,,,2022-02-21,Presidents' Day,,
,,,,,2022-05-30,Memorial Day,,
,,,,,2022-09-05,Labor Day,,
,,,,,2022-10-10,Columbus Day,,
,,,,,2022-11-24,Thanksgiving,,
,,,,,2022-12-26,Christmas OBS,,
,,,,,2023-01-02,New Year's Day OBS,,
,,,,,2023-01-16,Martin Luther King Jr. Day,,
,,,,,2023-02-20,Presidents' Day,,
,,,,,2023-05-29,Memorial Day,,
,,,,,2023-09-04,Labor Day,,
,,,,,2023-10-09,Columbus Day,,
,,,,,2023-11-23,Thanksgiving,,
,,,,,2024-01-15,Martin Luther King Jr. Day,,
,,,,,2024-02-19,Presidents' Day,,
,,,,,2024-05-27,Memorial Day,,
,,,,,2024-09-02,Labor Day,,
,,,,,2024-10-14,Columbus Day,,
,,,,,2024-11-28,Thanksgiving,,
,,,,,2025-01-20,Martin Luther King Jr. Day,,
,,,,,2025-02-17,Presidents' Day,,
,,,,,2025-05-26,Memorial Day,,
,,,,,2025-09-01,Labor Day,,
,,,,,2025-10-13,Columbus Day,,
,,,,,2025-11-27,Thanksgiving,,
,,,,,2026-01-19,Martin Luther King Jr. Day,,
,,,,,2026-02-16,Presidents' Day,,
,,,,,2026-05-25,Memorial Day,,
,,,,,2026-09-07,Labor Day,,
,,,,,2026-10-12,Columbus Day,,
,,,,,2026-11-26,Thanksgiving,,
,,,,,2027-01-18,Martin Luther King Jr. Day,,
,,,,,2027-02-15,Presidents' Day,,
,,,,,2027-05-31,Memorial Day,,
,,,,,2027-07-05,Independence Day OBS,,
,,,,,2027-09-06,Labor Day,,
,,,,,2027-10-11,Columbus Day,,
,,,,,2027-11-25,Thanksgiving,,
,,,,,2028-01-17,Martin Luther King Jr. Day,,
,,,,,2028-02-21,Presidents' Day,,
,,,,,2028-05-29,Memorial Day,,
,,,,,2028-09-04,Labor Day,,
,,,,,2028-10-09,Columbus Day,,
,,,,,2028-11-23,Thanksgiving,,
,,,,,2029-01-15,Martin Luther King Jr. Day,,
,,,,,2029-02-19,Presidents' Day,,
,,,,,2029-05-28,Memorial Day,,
,,,,,2029-09-03,Labor Day,,
,,,,,2029-10-08,Columbus Day,,
,,,,,2029-11-12,Veterans' Day OBS,,
,,,,,2029-11-22,Thanksgiving,,
,,,,,2030-01-21,Martin Luther King Jr. Day,,
,,,,,2030-02-18,Presidents' Day,,
,,,,,2030-05-27,Memorial Day,,
,,,,,2030-09-02,Labor Day,,
,,,,,2030-10-14,Columbus Day,,
,,,,,2030-11-28,Thanksgiving,,
,,,,,2031-01-20,Martin Luther King Jr. Day,,
,,,,,2031-02-17,Presidents' Day,,
,,,,,2031-05-26,Memorial Day,,
,,,,,2031-09-01,Labor Day,,
,,,,,2031-10-13,Columbus Day,,
,,,,,2031-11-27,Thanksgiving,,
,,,,,2032-01-19,Martin Luther King Jr. Day,,
,,,,,2032-02-16,Presidents' Day,,
,,,,,2032-05-31,Memorial Day,,
,,,,,2032-07-05,Independence Day OBS,,
,,,,,2032-09-06,Labor Day,,
,,,,,2032-10-11,Columbus Day,,
,,,,,2032-11-25,Thanksgiving,,
,,,,,2033-01-17,Martin Luther King Jr. Day,,
,,,,,2033-02-21,Presidents' Day,,
,,,,,2033-05-30,Memorial Day,,
,,,,,2033-09-05,Labor Day,,
,,,,,2033-10-10,Columbus Day,,
,,,,,2033-11-24,Thanksgiving,,
,,,,,2033-12-26,Christmas OBS,,
,,,,,2034-01-02,New Year's Day OBS,,
,,,,,2034-01-16,Martin Luther King Jr. Day,,
,,,,,2034-02-20,Presidents' Day,,
,,,,,2034-05-29,Memorial Day,,
,,,,,2034-09-04,Labor Day,,
,,,,,2034-10-09,Columbus Day,,
,,,,,2034-11-23,Thanksgiving,,
,,,,,2035-01-15,Martin Luther King Jr. Day,,
,,,,,2035-02-19,Presidents' Day,,
,,,,,2035-05-28,Memorial Day,,
,,,,,2035-09-03,Labor Day,,
,,,,,2035-10-08,Columbus Day,,
,,,,,2035-11-12,Veterans' Day OBS,,
,,,,,2035-11-22,Thanksgiving,,
,,,,,2036-01-21,Martin Luther King Jr. Day,,
,,,,,2036-02-18,Presidents' Day,,
,,,,,2036-05-26,Memorial Day,,
,,,,,2036-09-01,Labor Day,,
,,,,,2036-10-13,Columbus Day,,
,,,,,2036-11-27,Thanksgiving,,
,,,,,2037-01-19,Martin Luther King Jr. Day,,
,,,,,2037-02-16,Presidents' Day,,
,,,,,2037-05-25,Memorial Day,,
,,,,,2037-09-07,Labor Day,,
,,,,,2037-10-12,Columbus Day,,
,,,,,2037-11-26,Thanksgiving,,
,,,,,2038-01-18,Martin Luther King Jr. Day,,
,,,,,2038-02-15,Presidents' Day,,
,,,,,2038-05-31,Memorial Day,,
,,,,,2038-07-05,Independence Day OBS,,
,,,,,2038-09-06,Labor Day,,
,,,,,2038-10-11,Columbus Day,,
,,,,,2038-11-25,Thanksgiving,,
,,,,,2039-01-17,Martin Luther King Jr. Day,,
,,,,,2039-02-21,Presidents' Day,,
,,,,,2039-05-30,Memorial Day,,
,,,,,2039-09-05,Labor Day,,
,,,,,2039-10-10,Columbus Day,,
,,,,,2039-11-24,Thanksgiving,,
,,,,,2039-12-26,Christmas OBS,,
,,,,,2040-01-02,New Year's Day OBS,,
,,,,,2040-01-16,Martin Luther King Jr. Day,,
,,,,,2040-02-20,Presidents' Day,,
,,,,,2040-05-28,Memorial Day,,
,,,,,2040-09-03,Labor Day,,
,,,,,2040-10-08,Columbus Day,,
,,,,,2040-11-12,Veterans' Day OBS,,
,,,,,2040-11-22,Thanksgiving,,
,,,,,2041-01-21,Martin Luther King Jr. Day,,
,,,,,2041-02-18,Presidents' Day,,
,,,,,2041-05-27,Memorial Day,,
,,,,,2041-09-02,Labor Day,,
,,,,,2041-10-14,Columbus Day,,
,,,,,2041-11-28,Thanksgiving,,
,,,,,2042-01-20,Martin Luther King Jr. Day,,
,,,,,2042-02-17,Presidents' Day,,
,,,,,2042-05-26,Memorial Day,,
,,,,,2042-09-01,Labor Day,,
,,,,,2042-10-13,Columbus Day,,
,,,,,2042-11-27,Thanksgiving,,
,,,,,2043-01-19,Martin Luther King Jr. Day,,
,,,,,2043-02-16,Presidents' Day,,
,,,,,2043-05-25,Memorial Day,,
,,,,,2043-09-07,Labor Day,,
,,,,,2043-10-12,Columbus Day,,
,,,,,2043-11-26,Thanksgiving,,
,,,,,2044-01-18,Martin Luther King Jr. Day,,
,,,,,2044-02-15,Presidents' Day,,
,,,,,2044-05-30,Memorial Day,,
,,,,,2044-09-05,Labor Day,,
,,,,,2044-10-10,Columbus Day,,
,,,,,2044-11-24,Thanksgiving,,
,,,,,2044-12-26,Christmas OBS,,
,,,,,2045-01-02,New Year's Day OBS,,
,,,,,2045-01-16,Martin Luther King Jr. Day,,
,,,,,2045-02-20,Presidents' Day,,
,,,,,2045-05-29,Memorial Day,,
,,,,,2045-09-04,Labor Day,,
,,,,,2045-10-09,Columbus Day,,
,,,,,2045-11-23,Thanksgiving,,
,,,,,2046-01-15,Martin Luther King Jr. Day,,
,,,,,2046-02-19,Presidents' Day,,
,,,,,2046-05-28,Memorial Day,,
,,,,,2046-09-03,Labor Day,,
,,,,,2046-10-08,Columbus Day,,
,,,,,2046-11-12,Veterans' Day OBS,,
,,,,,2046-11-22,Thanksgiving,,
,,,,,2047-01-21,Martin Luther King Jr. Day,,
,,,,,2047-02-18,Presidents' Day,,
,,,,,2047-05-27,Memorial Day,,
,,,,,2047-09-02,Labor Day,,
,,,,,2047-10-14,Columbus Day,,
,,,,,2047-11-28,Thanksgiving,,
,,,,,0001-07-04,Independence Day,,
,,,,,0001-12-25,Christmas Day,,
,,,,,0001-01-01,New Year's Day,,
,,,,,0001-11-11,Veterans Day,,
,,,,,2000-01-17,,,
,,,,,2000-02-21,,,
,,,,,2000-05-29,,,
,,,,,2000-09-04,,,
,,,,,2000-10-09,,,
,,,,,2000-11-23,,,
,,,,,2001-01-15,,,
,,,,,2001-02-19,,,
,,,,,2001-05-28,,,
,,,,,2001-09-03,,,
,,,,,2001-10-08,,,
,,,,,2001-11-12,,,
,,,,,2001-11-22,,,
,,,,,2002-01-21,,,
,,,,,2002-02-18,,,
,,,,,2002-05-27,,,
,,,,,2002-09-02,,,
,,,,,2002-10-14,,,
,,,,,2002-11-28,,,
,,,,,2003-01-20,,,
,,,,,2003-02-17,,,
,,,,,2003-05-26,,,
,,,,,2003-09-01,,,
,,,,,2003-10-13,,,
,,,,,2003-11-27,,,
,,,,,2004-01-19,,,
,,,,,2004-02-16,,,
,,,,,2004-05-31,,,
,,,,,2004-07-05,,,
,,,,,2004-09-06,,,
,,,,,2004-10-11,,,
,,,,,2004-11-25,,,
,,,,,2005-01-17,,,
,,,,,2005-02-21,,,
,,,,,2005-05-30,,,
,,,,,2005-09-05,,,
,,,,,2005-10-10,,,
,,,,,2005-11-24,,,
,,,,,2005-12-26,,,
,,,,,2006-01-02,,,
,,,,,2006-02-20,,,
,,,,,2006-05-29,,,
,,,,,2006-09-04,,,
,,,,,2006-10-09,,,
,,,,,2006-11-23,,,
,,,,,2007-01-15,,,
,,,,,2007-02-19,,,
,,,,,2007-05-28,,,
,,,,,2007-09-03,,,
,,,,,2007-10-08,,,
,,,,,2007-11-12,,,
,,,,,2007-11-22,,,
,,,,,2008-01-21,,,
,,,,,2008-02-18,,,
,,,,,2008-05-26,,,
,,,,,2008-09-01,,,
,,,,,2008-10-13,,,
,,,,,2008-11-27,,,
,,,,,2009-01-19,,,
,,,,,2009-02-16,,,
,,,,,2009-05-25,,,
,,,,,2009-09-07,,,
,,,,,2009-10-12,,,
,,,,,2009-11-26,,,
,,,,,2010-01-18,,,
,,,,,2010-02-15,,,
,,,,,2010-05-31,,,
,,,,,2010-07-05,,,
,,,,,2010-09-06,,,
,,,,,2010-10-11,,,
,,,,,2010-11-25,,,
,,,,,2011-01-17,,,
,,,,,2011-02-21,,,
,,,,,2011-05-30,,,
,,,,,2011-09-05,,,
,,,,,2011-10-10,,,
,,,,,2011-11-24,,,
,,,,,2011-12-26,,,
,,,,,2012-01-02,,,
,,,,,2012-01-16,,,
,,,,,2012-02-20,,,
,,,,,2012-05-28,,,
,,,,,2012-09-03,,,
,,,,,2012-10-08,,,
,,,,,2012-11-12,,,
,,,,,2012-11-22,,,
,,,,,2013-01-21,,,
,,,,,2013-02-18,,,
,,,,,2013-05-27,,,
,,,,,2013-09-02,,,
,,,,,2013-10-14,,,
,,,,,2013-11-28,,,
,,,,,2014-01-20,,,
,,,,,2014-02-17,,,
,,,,,2014-05-26,,,
,,,,,2014-09-01,,,
,,,,,2014-10-13,,,
,,,,,2014-11-27,,,
,,,,,2015-01-19,,,
,,,,,2015-02-16,,,
,,,,,2015-05-25,,,
,,,,,2015-09-07,,,
,,,,,2015-10-12,,,
,,,,,2015-11-26,,,
,,,,,2022-06-20,,,
,,,,,2023-06-19,,,
,,,,,2024-06-19,,,
,,,,,2025-06-19,,,
,,,,,2026-06-19,,,
,,,,,2028-06-19,,,
,,,,,2029-06-19,,,
,,,,,2030-06-19,,,
,,,,,2031-06-19,,,
,,,,,2033-06-20,,,
,,,,,2034-06-19,,,
,,,,,2035-06-19,,,
,,,,,2036-06-19,,,
,,,,,2037-06-19,,,
,,,,,2039-06-20,,,
,,,,,2040-06-19,,,
,,,,,2041-06-19,,,
,,,,,2042-06-19,,,
,,,,,2043-06-19,,,
,,,,,2044-06-20,,,
,,,,,2045-06-19,,,
,,,,,2046-06-19,,,
,,,,,2047-06-19,,,
,,,,,2048-06-19,,,
,,,,,2050-06-20,,,
,,,,,2048-01-20,,,
,,,,,2048-02-17,,,
,,,,,2048-05-25,,,
,,,,,2048-09-07,,,
,,,,,2048-10-12,,,
,,,,,2048-11-26,,,
,,,,,2049-01-18,,,
,,,,,2049-02-15,,,
,,,,,2049-05-31,,,
,,,,,2049-07-05,,,
