CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
EUTA,Target,Nov2021: Updated to 2060,2,192,0001-01-01,New Year's Day,,
,,,,,0001-05-01,Labour Day,,
,,,,,0001-12-25,Christmas Day,,
,,,,,2000-04-21,,,
,,,,,2000-04-24,,,
,,,,,2001-04-13,,,
,,,,,2001-04-16,,,
,,,,,2002-03-29,,,
,,,,,2002-04-01,,,
,,,,,2003-04-18,,,
,,,,,2003-04-21,,,
,,,,,2004-04-09,,,
,,,,,2004-04-12,,,
,,,,,2005-03-25,,,
,,,,,2005-03-28,,,
,,,,,2006-04-14,,,
,,,,,2006-04-17,,,
,,,,,2007-04-06,,,
,,,,,2007-04-09,,,
,,,,,2008-03-21,,,
,,,,,2008-03-24,,,
,,,,,2009-04-10,,,
,,,,,2009-04-13,,,
,,,,,2010-04-02,,,
,,,,,2010-04-05,,,
,,,,,2011-04-22,,,
,,,,,2011-04-25,,,
,,,,,2012-04-06,,,
,,,,,2012-04-09,,,
,,,,,2013-03-29,,,
,,,,,2013-04-01,,,
,,,,,2014-04-18,,,
,,,,,2014-04-21,,,
,,,,,2015-04-03,,,
,,,,,2015-04-06,,,
,,,,,2016-03-25,,,
,,,,,2016-03-28,,,
,,,,,2017-04-14,,,
,,,,,2017-04-17,,,
,,,,,2018-03-30,,,
,,,,,2018-04-02,,,
,,,,,2019-04-19,,,
,,,,,2019-04-22,,,
,,,,,2020-04-10,,,
,,,,,2020-04-13,,,
,,,,,2021-04-02,,,
,,,,,2021-04-05,,,
,,,,,2022-04-15,,,
,,,,,2022-04-18,,,
,,,,,2023-04-07,,,
,,,,,2023-04-10,,,
,,,,,2024-04-01,,,
,,,,,2024-03-29,,,
,,,,,2025-04-18,,,
,,,,,2025-04-21,,,
,,,,,2026-04-03,,,
,,,,,2026-04-06,,,
,,,,,2027-03-26,,,
,,,,,2027-03-29,,,
,,,,,2028-04-14,,,
,,,,,2028-04-17,,,
,,,,,2029-03-30,,,
,,,,,2029-04-02,,,
,,,,,2030-04-19,,,
,,,,,2030-04-22,,,
,,,,,2031-04-11,,,
,,,,,2031-04-14,,,
,,,,,2032-03-26,,,
,,,,,2032-03-29,,,
,,,,,2033-04-15,,,
,,,,,2033-04-18,,,
,,,,,2034-04-07,,,
,,,,,2034-04-10,,,
,,,,,2035-03-23,,,
,,,,,2035-03-26,,,
,,,,,2036-04-11,,,
,,,,,2036-04-14,,,
,,,,,2037-04-03,,,
,,,,,2037-04-06,,,
,,,,,2038-04-23,,,
,,,,,2038-04-26,,,
,,,,,2039-04-08,,,
,,,,,2039-04-11,,,
,,,,,2040-04-02,,,
,,,,,2040-03-30,,,
,,,,,2041-04-19,,,
,,,,,2041-04-22,,,
,,,,,0001-12-26,Boxing Day,,
,,,,,2042-04-04,,,
,,,,,2042-04-07,,,
,,,,,2043-03-27,,,
,,,,,2043-03-30,,,
,,,,,2044-04-15,,,
,,,,,2044-04-18,,,
,,,,,2045-04-07,,,
,,,,,2045-04-10,,,
,,,,,2046-03-23,,,
,,,,,2046-03-26,,,
,,,,,2047-04-12,,,
,,,,,2047-04-15,,,
,,,,,2048-04-03,,,
,,,,,2048-04-06,,,
,,,,,2049-04-16,,,
,,,,,2049-04-19,,,
,,,,,2050-04-08,,,
,,,,,2050-04-11,,,
,,,,,2051-03-31,,,
,,,,,2051-04-03,,,
,,,,,2052-04-19,,,
,,,,,2052-04-22,,,
,,,,,2053-04-04,,,
,,,,,2053-04-07,,,
,,,,,2054-03-27,,,
,,,,,2054-03-30,,,
,,,,,2055-04-16,,,
,,,,,2055-04-19,,,
,,,,,2056-03-31,,,
,,,,,2056-04-03,,,
,,,,,2057-04-20,,,
,,,,,2057-04-23,,,
,,,,,2058-04-12,,,
,,,,,2058-04-15,,,
,,,,,2059-03-28,,,
,,,,,2059-03-31,,,
,,,,,2060-04-16,,,
,,,,,2060-04-19,,,
