CHOICELIST,,,,/CHOICELIST
DESCRIPTION,LIST,SORT_ORDER,ENTRY,
,Legal Form,,None,
,MASTER,,Additional Payments,
Do not remove,MASTER,,ADM Choicelist Mappings,
,MASTER,,Business Status,
,MASTER,,CalculationType,
Instrument category,MASTER,,Category,
Guarantor,MASTER,,Guarantor,
Categorization of hierarchy columns,MASTER,,Hierarchy Column Category,
,MASTER,,Legal Form,
Do not remove,MASTER,,MASTER,
,MASTER,,PriceFindingGroup,
,MASTER,,Printer Queue,
,MASTER,,Product Type,
,MASTER,,Relation,
,MASTER,,RiskFactorGroup,
,MASTER,,TradeSettleCategory,
Underlying Future Method,MASTER,,Underlying Future Method,
Underlying Future Method,Underlying Future Method,,2nd Shortest,
Underlying Future Method,Underlying Future Method,,Actual,
Underlying Future Method,Underlying Future Method,,Closest,
Underlying Future Method,Underlying Future Method,,Following,
Underlying Future Method,Underlying Future Method,,Preceding,
Underlying Future Method,Underlying Future Method,,Shortest,
