QUOTATION,,,,,,/QUOTATION
METRIC_SPACE_TYPE,QUOTATION_TYPE,CLEAN,NAME,PER_CONTRACT_FACTOR,QUOTATION_FACTOR,
Unit,100-rate,,100-rate,1,0.01,
Unit,Bond Factor,,Bond Price,1,0.01,
Unit,Bond Factor,Yes,Bond Price Clean,1,0.01,
Unit,Factor,Yes,Clean,1,0.01,
Unit,Coupon,,Coupon,1,0.01,
Unit,Coupon,,Coupon bps,1,0.0001,
Unit,Per Unit,,Day,1,1,
Unit,Delta,,Delta,1,0.01,
Unit,Discount Rate,,Discount Rate,1,0.01,
Unit,Coupon,,FX Forward Points,1,0.01,
Unit,FX Outright Rate,,FX Outright Rate,1,1,
Unit,Factor,,Pct of Nominal,1,0.01,
Unit,Factor,,Pctpct of Nom,1,0.0001,
Unit,Factor,,Pctpct of Nom Straddle,1,5.00E-05,
Unit,Per Unit,,Per 10 000 Units,1,0.0001,
Unit,Per Contract,,Per 100 Contracts,1,0.01,
Unit,Per Unit,,Per 100 Units,1,0.01,
Unit,Per Unit,Yes,Per 100 Units Clean,1,,
Unit,Per Contract,Yes,Per 1000 Clean,1,0.001,
Unit,Factor,,Per 1000 of Nom,1,0.001,
Unit,Per Contract,,Per Contract,1,1,
Unit,Per Unit,Yes,Per Contract Clean,1,1,
Unit,Per Unit,,Per Million,1,1.00E-06,
Unit,Per Unit,,Per Unit,1,1,
Unit,Per Unit Inverse,,Per Unit Inverse,1,1,
Unit,Points of BaseCurr,,Points of BaseCurr,1,1,
Unit,Points of UndCurr,,Points of UndCurr,1,1,
Unit,Simple Rate,,Simple Rate,1,0.01,
Unit,Spread,,Spread,1,0.01,
Unit,Spread,,Spread bps,1,0.0001,
Unit,Spread,,Spread bps Inv Sign,1,-0.0001,
Unit,Unadj Factor,Yes,Unadj Clean,1,0.01,
Unit,Unadj Factor,,Unadj Pct of Nom,1,0.01,
Unit,Volatility,,Volatility,1,0.01,
Unit,Normal Volatility,,Volatility bps,1,0.0001,
Unit,Yield,,Yield,1,0.01,
