CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,EmasProdCode,Emas Product Code,
EmasProdCode,,AP-FIN-BL,AP-FIN-BL,
EmasProdCode,1,AR-FIN-BL,AR-FIN-BL,
EmasProdCode,2,BB FLEX AN,BB FLEX AN,
EmasProdCode,3,BB FLEX FL,BB FLEX FL,
EmasProdCode,4,BEJ,Giro Rupiah IDR-Cor,
EmasProdCode,5,BEJ-IDR-C,Giro Rupiah IDR-Cor,
EmasProdCode,6,BEJ-SGD-C,Giro Valas SGD-Cor,
EmasProdCode,7,BEJ-USD-C,Giro Valas USD-Cor,
EmasProdCode,8,BKLBI-IDR,BUNGA KLBI-IDR,
EmasProdCode,9,BPNM-IDR,BUNGA PNM-IDR,
EmasProdCode,10,BPR-I-EXEC,BPR-I-EXEC,
EmasProdCode,11,BPR-M-EXEC,BPR-M-EXEC,
EmasProdCode,12,BPR-MITRA,BPR-MITRA,
EmasProdCode,13,BSOL-IDR,BUNGA SOL-IDR,
EmasProdCode,14,BSOL-USD,BUNGA SOL USD,
EmasProdCode,15,BTSL-IDR,BUNGA TSL-IDR,
EmasProdCode,16,BTSL-USD,BUNGA TSL-USD,
EmasProdCode,17,DANATUNAI,DANATUNAI,
EmasProdCode,18,DANATUNAIA,DANATUNAIA,
EmasProdCode,19,DANATUNAIF,DANATUNAIF,
EmasProdCode,20,DANATUNAIK,DANATUNAIK,
EmasProdCode,21,FLPP-IDR,FLPP DARI KEMENPERA,
EmasProdCode,22,GESC-CNYTR,Giro Escrow TR - CNY,
EmasProdCode,23,GESC-EURTR,Giro Escrow EUR Tier,
EmasProdCode,24,GESC-GBPTR,Giro Escrow GBP Tier,
EmasProdCode,25,GESC-IDRTR,Giro Escrow IDR Tier,
EmasProdCode,26,GESC-JPYTR,Giro Escrow JPY Tier,
EmasProdCode,27,GESC-SEKTR,Giro Escrow SEK Tier,
EmasProdCode,28,GESC-SGDTR,Giro Escrow SGD Tier,
EmasProdCode,29,GESC-USDTR,Giro Escrow USD Tier,
EmasProdCode,30,GIDR-360,Giro Rupiah Rate 360,
EmasProdCode,31,GIDR-DHE,Giro Reguler IDR DHE,
EmasProdCode,32,GIDR-PREM,MANDIRI GIRO PREMIER,
EmasProdCode,33,GIDR-SPEC,Giro IDR Rate Khusus,
EmasProdCode,34,GIDRPR-DHE,MANDIRI PREM IDR IDR,
EmasProdCode,35,GIR-AUD-C,Giro Valas AUD-Cor,
EmasProdCode,36,GIR-AUD-G,Giro Valas AUD-Gov,
EmasProdCode,37,GIR-AUD-P,Giro Valas AUD-Cor,
EmasProdCode,38,GIR-CHF-C,Giro Valas CHF-Cor,
EmasProdCode,39,GIR-CHF-G,Giro Valas CHF-Gov,
EmasProdCode,40,GIR-CHF-P,Giro Valas CHF-Pers,
EmasProdCode,41,GIR-CNY-C,GIRO VALAS CNY-COR,
EmasProdCode,42,GIR-CNY-G,GIRO VALAS CNY-GOV,
EmasProdCode,43,GIR-CNY-P,GIRO VALAS CNY-PERS,
EmasProdCode,44,GIR-EUR-C,Giro Valas EUR-Cor,
EmasProdCode,45,GIR-EUR-G,Giro Valas EUR-Gov,
EmasProdCode,46,GIR-EUR-P,Giro Valas EUR-Pers,
EmasProdCode,47,GIR-GBP-C,Giro Valas GBP-Cor,
EmasProdCode,48,GIR-GBP-G,Giro Valas GBP-Gov,
EmasProdCode,49,GIR-GBP-P,Giro Valas GBP-Pers,
EmasProdCode,50,GIR-HKD-C,Giro Valas HKD-Cor,
EmasProdCode,51,GIR-HKD-G,Giro Valas HKD-Gov,
EmasProdCode,52,GIR-HKD-P,Giro Valas HKD-Pers,
EmasProdCode,53,GIR-IDR-BZ,Giro IDR Bisnis,
EmasProdCode,54,GIR-IDR-C,Giro Rupiah IDR-Cor,
EmasProdCode,55,GIR-IDR-G,Giro Rupiah IDR-Gov,
EmasProdCode,56,GIR-IDR-G2,Giro Rupiah IDR-Gov2,
EmasProdCode,57,GIR-IDR-OP,Giro Corp Optima,
EmasProdCode,58,GIR-IDR-P,Giro Rupiah IDR-Pers,
EmasProdCode,59,GIR-IDR-PB,TTPBNG PINJ.DITERIMA,
EmasProdCode,60,GIR-IDR-PD,PINJ. DITERIMA LAIN,
EmasProdCode,61,GIR-JPY-C,Giro Valas JPY-Cor,
EmasProdCode,62,GIR-JPY-G,Giro Valas JPY-Gov,
EmasProdCode,63,GIR-JPY-P,Giro Valas JPY-Pers,
EmasProdCode,64,GIR-MYR-C,Giro Valas MYR-Cor,
