CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,DocumentType,Document Type,
DocumentType,,001-Fotokopi Pemberitahuan Impor Barang,D001,
DocumentType,1,002-Fotokopi Pemberitahuan Eksporbarang,D002,
DocumentType,2,003-Letter of Credit dan perubahan L/C,D003,
DocumentType,3,004-Invoice/commercial invoice,D004,
DocumentType,4,005-List of invoice,D005,
DocumentType,5,006-Dok. pembayaran biaya sekolah LN,D006,
DocumentType,6,007-Dok. pembayaran biaya berobat ke LN,D007,
DocumentType,7,008-Dok.biaya perjalanan LN,D008,
DocumentType,8,009-Dok. pembayaran jasa konsultan LN,D009,
DocumentType,9,010-Dok.Pembayaran jasa TKA diIndonesia,D010,
DocumentType,10,011-Ftcpy loan agreement/dok utang lain,D011,
DocumentType,11,012-Srt ijin KUPVA&lap net jual ke nsbh,D012,
DocumentType,12,013-Dok.proy.cashflow jasa travel agent,D013,
DocumentType,13,014-SWIFT message,D014,
DocumentType,14,015-Tested telex,D015,
DocumentType,15,016-Tested fax,D016,
DocumentType,16,017-RMDS deal conv./BBG ticket,D017,
DocumentType,17,018-Bukti tagihan pajak,D018,
DocumentType,18,"019-Bukti tghn kwjbn byr lstrk,tlp,air",D019,
DocumentType,19,020-Surat perjanjian kerja,D020,
DocumentType,20,021-SKBDN,D021,
DocumentType,21,022-Bukti divestasi penyertaan langsung,D022,
DocumentType,22,023-Bukti pembelian/penjualan saham,D023,
DocumentType,23,024-Bukti pembagian deviden,D024,
DocumentType,24,025-Bukti pembayaran kupon,D025,
DocumentType,25,026-Bukti beli/jual obl korp./RD/KIK,D026,
DocumentType,26,027-Bukti pembelian/penjualan SBN,D027,
DocumentType,27,028-Bill of Lading,D028,
DocumentType,28,029-Purchase agreement,D029,
DocumentType,29,030-Sales agreement/sale contract,D030,
DocumentType,30,032-Wesel,D032,
DocumentType,31,033-Faktur transaksi jual beli barang,D033,
DocumentType,32,034-Faktur transaksi jual beli jasa,D034,
DocumentType,33,035-Nota debet (debit note),D035,
DocumentType,34,036-Fotokopi perjanjian royalti,D036,
DocumentType,35,037-Akta jualbeli&bukti milik aset PA,D037,
DocumentType,36,038-Dok jual valas/IDR hsl ekspor,D038,
DocumentType,37,039-Dok proy. cashflow kegiatan Eks-Imp,D039,
DocumentType,38,040-PO/dok lain yg telah dikonf.penjual,D040,
DocumentType,39,041-Bukti beli/jual srt berharga lain,D041,
DocumentType,40,042-Bukti bagi hasil investasi lainnya,D042,
DocumentType,41,043-Srt permint.setor reksaldo ats trx ,D043,
DocumentType,42,044-Bukti keikutsertaandalam tender /BG,D044,
DocumentType,43,045-Dok proy. arus kas atas proyek ttt,D045,
DocumentType,44,046-Perjanj. buka vostro PA u remitansi,D046,
DocumentType,45,047-Dok info keb.valas u remit dr Indo,D047,
DocumentType,46,048-Proy. arus kas PA u beban ops Rp,D048,
DocumentType,47,049-Settlement agreement,D049,
DocumentType,48,050-Dokumen waris,D050,
DocumentType,49,051-MOU/Agrmnt s/b aset DN merger&akui,D051,
DocumentType,50,052-Dok. est. hsl investasi yg diterima,D052,
DocumentType,51,053-Bukti dana Valas-deposito di bankDN,D053,
DocumentType,52,054-Bukti dana Valas-NCD di bankDN,D054,
DocumentType,53,055-Bukti dana Valas-tabungan di BankDN,D055,
DocumentType,54,056-Bukti dana Valas-deposito di bankLN,D056,
DocumentType,55,057-Bukti dana Valas-NCD di bankLN,D057,
DocumentType,56,058-Bukti dana Valas-tabungan di bankLN,D058,
DocumentType,57,DX-Dokumen Lainnya,DX,
DocumentType,58,Type 1,,
