CHOICELIST,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,
MASTER,LBUT_GOL PIHAKLAWAN,LBUT_GOL PIHAKLAWAN,
LBUT_GOL PIHAKLAWAN,BUMN - Perusahaan non Fin.- Pemerintah,S110011L,
LBUT_GOL PIHAKLAWAN,BUMD - Perusahaan non Fin.- Pemerintah,S110012L,
LBUT_GOL PIHAKLAWAN,BUM Desa-Perusahaan non Fin.-Pemerintah,S110013L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Otomotif ,S1100201L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Perminyakan ,S1100202L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Tekstil ,S1100203L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Perkayuan ,S1100204L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Properti dan Real Estate ,S11002051L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Jasa Konstruksi Lainnya ,S11002059L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Industri Rokok ,S1100206L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Industri Makanan ,S1100207L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Agrobisnis ,S1100208L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Telekomunikasi ,S1100209L,
LBUT_GOL PIHAKLAWAN,Koperasi Primer -  Bukan Simpan Pinjam,S11002501L,
LBUT_GOL PIHAKLAWAN,Koperasi Lainnya - Bukan Simpan Pinjam,S11002509L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Lainnya ,S1100299L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Otomotif,S1100301L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Perminyakan,S1100302L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Tekstil,S1100303L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Perkayuan,S1100304L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Properti dan Real Estate,S11003051L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Jasa Konstruksi Lainnya,S11003059L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Industri Rokok,S1100306L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Industri Makanan,S1100307L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Agrobisnis,S1100308L,
LBUT_GOL PIHAKLAWAN,Kantor Perwakilan Lbg. Asing di Indo,S1100360L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Lainnya,S1100399L,
LBUT_GOL PIHAKLAWAN,Bank Indonesia (Bank Sentral),S121,
LBUT_GOL PIHAKLAWAN,BUMN-Modal Ventura ,S12501150L,
LBUT_GOL PIHAKLAWAN,BUMN-Perusahaan Pembiayaan ,S12501151L,
LBUT_GOL PIHAKLAWAN,BUMN-Perusahaan sekuritas-NonReksadana ,S125011521L,
LBUT_GOL PIHAKLAWAN,BUMN-Perusahaan sekuritas-Reksadana ,S125011522L,
LBUT_GOL PIHAKLAWAN,BUMN-Perusahaan reksadana ,S125011523L,
LBUT_GOL PIHAKLAWAN,BUMN-Manajer Investasi ,S125011524L,
LBUT_GOL PIHAKLAWAN,BUMN-Lainnya-Perusahaan Sekuritas&RD,S125011529L,
LBUT_GOL PIHAKLAWAN,BUMN-Lainnya-Perusahaan Finans. Lainnya,S12501199L,
LBUT_GOL PIHAKLAWAN,BUMD-Modal Ventura ,S12501250L,
LBUT_GOL PIHAKLAWAN,BUMD-Perusahaan Pembiayaan ,S12501251L,
LBUT_GOL PIHAKLAWAN,BUMD-Perusahaan sekuritas-NonReksadana ,S125012521L,
LBUT_GOL PIHAKLAWAN,BUMD-Perusahaan sekuritas -Reksadana ,S125012522L,
LBUT_GOL PIHAKLAWAN,BUMD-Perusahaan reksadana ,S125012523L,
LBUT_GOL PIHAKLAWAN,BUMD-Manajer Investasi ,S125012524L,
LBUT_GOL PIHAKLAWAN,BUMD-Lainnya-Perusahaan Sekuritas&RD,S125012529L,
LBUT_GOL PIHAKLAWAN,BUMD-Lainnya-Perusahaan Finans. Lainnya,S12501299L,
LBUT_GOL PIHAKLAWAN,BUM Desa ,S125013L,
LBUT_GOL PIHAKLAWAN,SN-Modal Ventura ,S12502050L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan Pembiayaan ,S12502051L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan sekuritas-Non Reksadana ,S125020521L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan sekuritas-Reksadana ,S125020522L,
LBUT_GOL PIHAKLAWAN,SN-Perusahaan reksadana ,S125020523L,
LBUT_GOL PIHAKLAWAN,SN-Manajer Investasi ,S125020524L,
LBUT_GOL PIHAKLAWAN,SN-Lainnya-Perusahaan Sekuritas&RD,S125020529L,
LBUT_GOL PIHAKLAWAN,SN-Baitul Maal Wa Tamwil (BMT) ,S12502053L,
LBUT_GOL PIHAKLAWAN,Koperasi Primer - Simpan Pinjam,S125020541L,
LBUT_GOL PIHAKLAWAN,Koperasi Lainnya - Simpan Pinjam,S125020549L,
LBUT_GOL PIHAKLAWAN,Lainnya - Koperasi Simpan Pinjam,S12502099L,
LBUT_GOL PIHAKLAWAN,SPA-Modal Ventura ,S12503050L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan Pembiayaan ,S12503051L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan sekuritas-Non Reksadana ,S125030521L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan sekuritas-Reksadana ,S125030522L,
LBUT_GOL PIHAKLAWAN,SPA-Perusahaan reksadana ,S125030523L,
LBUT_GOL PIHAKLAWAN,SPA-Manajer Investasi ,S125030524L,
LBUT_GOL PIHAKLAWAN,SPA-Lainnya-Perusahaan Sekuritas&RD,S125030529L,
LBUT_GOL PIHAKLAWAN,SPA-Baitul Maal Wa Tamwil (BMT) ,S12503053L,
LBUT_GOL PIHAKLAWAN,SPA-Kntr Wkl Lbg Asing di Indo Lainnya ,S12503054L,
LBUT_GOL PIHAKLAWAN,SPA-Lainnya,S12503099L,
LBUT_GOL PIHAKLAWAN,BUMN - Perusahaan Penunjang Fin. ,S126011L,
LBUT_GOL PIHAKLAWAN,BUMD - Perusahaan Penunjang Fin. ,S126012L,
LBUT_GOL PIHAKLAWAN,BUM Desa-Perusahaan Penunjang Fin. ,S126013L,
LBUT_GOL PIHAKLAWAN,Otoritas Jasa Keuangan (OJK),S126014L,
LBUT_GOL PIHAKLAWAN,Penyelenggara Teknologi Finansial,S1260202L,
LBUT_GOL PIHAKLAWAN,Penerbit Uang Elektronik,S1260203L,
LBUT_GOL PIHAKLAWAN,SN-Lainnya-Penunjang Keuangan,S1260299L,
LBUT_GOL PIHAKLAWAN,SPA - Penunjang Keuangan ,S1260302L,
LBUT_GOL PIHAKLAWAN,SPA - Penyelenggara Teknologi Finansial,S1260303L,
LBUT_GOL PIHAKLAWAN,SPA - Penerbit Uang Elektronik,S1260399L,
LBUT_GOL PIHAKLAWAN,BUMN - Perusahaan Asuransi,S128011L,
LBUT_GOL PIHAKLAWAN,BUMD - Perusahaan Asuransi,S128012L,
LBUT_GOL PIHAKLAWAN,BUM Desa - Perusahaan Asuransi,S128013L,
LBUT_GOL PIHAKLAWAN,Lembaga Penjamin Simpanan (LPS),S128014L,
LBUT_GOL PIHAKLAWAN,SN - Asuransi,S12802,
LBUT_GOL PIHAKLAWAN,SPA Asuransi,S12803,
LBUT_GOL PIHAKLAWAN,BUMN - Perusahaan Dana Pensiun,S129011L,
LBUT_GOL PIHAKLAWAN,BUMD - Perusahaan Dana Pensiun,S129012L,
LBUT_GOL PIHAKLAWAN,BUM Desa - Perusahaan Dana Pensiun,S129013L,
LBUT_GOL PIHAKLAWAN,SN - Dana Pensiun,S12902,
LBUT_GOL PIHAKLAWAN,SPA Dana Pensiun,S12903,
LBUT_GOL PIHAKLAWAN,Kantor Pelayanan Perbendaharaan Negara,S131101L,
LBUT_GOL PIHAKLAWAN,Kementerian Keuangan,S131102L,
LBUT_GOL PIHAKLAWAN,Kementerian Pertahanan,S131103L,
LBUT_GOL PIHAKLAWAN,Kementerian Lingk. Hidup dan Kehutanan,S131104L,
LBUT_GOL PIHAKLAWAN,Kementerian Pertanian,S131105L,
LBUT_GOL PIHAKLAWAN,Kementerian Energi & SD. Mineral,S131106L,
LBUT_GOL PIHAKLAWAN,Kementerian Agama,S131107L,
LBUT_GOL PIHAKLAWAN,Kementerian BUMN,S131108L,
LBUT_GOL PIHAKLAWAN,"Kementerian Bud.,Dik Dasar, & Menengah",S131109L,
LBUT_GOL PIHAKLAWAN,Kementerian Pekerjaan Um&Perumahan Rkyt,S131110L,
LBUT_GOL PIHAKLAWAN,Kementerian Kesehatan,S131111L,
LBUT_GOL PIHAKLAWAN,Kementerian Perhubungan,S131112L,
LBUT_GOL PIHAKLAWAN,Badan dan Lembaga Pemerintah,S131197L,
LBUT_GOL PIHAKLAWAN,Badan Layanan Umum Kesehatan,S1311981L,
LBUT_GOL PIHAKLAWAN,Badan Layanan Umum Pendidikan,S1311982L,
LBUT_GOL PIHAKLAWAN,Badan Layanan Umum Lainnya,S1311989L,
LBUT_GOL PIHAKLAWAN,Kementerian Lainnya,S131199L,
LBUT_GOL PIHAKLAWAN,Pemerintah Provinsi,S131301L,
LBUT_GOL PIHAKLAWAN,Pemerintah Kota,S131302L,
LBUT_GOL PIHAKLAWAN,Pemerintah Kabupaten,S131303L,
