CHOICELIST,,,,/CHOICELIST
DESCRIPTION,ENTRY,LIST,SORT_ORDER,
LBUT_JENIS SB,LBUT_JENIS SB,MASTER,,
F0401,Sertifikat Bank Indonesia (SBI),LBUT_JENIS SB,,
F0403,Sertifikat Deposito Bank Indonesia/SDBI,LBUT_JENIS SB,1,
F0404,SBBI - Valuta Asing,LBUT_JENIS SB,2,
F040501,Surat Perbendaharaan Negara (SPN),LBUT_JENIS SB,3,
F040502,Surat Perbendaharaan Negara Syariah,LBUT_JENIS SB,4,
F0406,Sertf. Inv. Mudharabah Antarbank/SIMA,LBUT_JENIS SB,5,
F0408,Promes / Aksep,LBUT_JENIS SB,6,
F040901,Wesel - Wesel Ekspor,LBUT_JENIS SB,7,
F040902,Wesel - SKBDN,LBUT_JENIS SB,8,
F040999,Wesel - Lainnya,LBUT_JENIS SB,9,
F0410,Surat Berharga Komersial,LBUT_JENIS SB,10,
F041101,Medium Term Notes (MTN),LBUT_JENIS SB,11,
F041102,Medium Term Notes (MTN) Syariah,LBUT_JENIS SB,12,
F0412,Floating Rate Notes (FRN),LBUT_JENIS SB,13,
F0413,Credit Linked Notes,LBUT_JENIS SB,14,
F041401,Reksadana,LBUT_JENIS SB,15,
F041402,Reksadana Syariah,LBUT_JENIS SB,16,
F041403,Reksadana Dana Pendapatan Tetap,LBUT_JENIS SB,17,
F04150101,Obligasi rekapitulasi bank umum,LBUT_JENIS SB,18,
F04150102,Obligasi Negara (ON),LBUT_JENIS SB,19,
F04150103,Obligasi Ritel Indonesia (ORI),LBUT_JENIS SB,20,
F0415010501,Obligasi Korporasi - Subordinasi,LBUT_JENIS SB,21,
F0415010602,Obligasi Korporasi - Non Subordinasi,LBUT_JENIS SB,22,
F04150199,Obligasi Lainnya,LBUT_JENIS SB,23,
F04150201,Sukuk Bank Indonesia,LBUT_JENIS SB,24,
F04150203,Sukuk Negara,LBUT_JENIS SB,25,
F04150204,Sukuk Ritel,LBUT_JENIS SB,26,
F0415020501,Ijarah Fixed Rate,LBUT_JENIS SB,27,
F0415020602,Sukuk Korporasi - Non,LBUT_JENIS SB,28,
F04150207,Project Based Sukuk (PBS),LBUT_JENIS SB,29,
F04150299,Sukuk Lainnya,LBUT_JENIS SB,30,
F0416,Dana Investasi Real Estate (DIRE),LBUT_JENIS SB,31,
F041701,Efek Beragun Aset,LBUT_JENIS SB,32,
F041702,Efek Beragun Aset Syariah,LBUT_JENIS SB,33,
F0499,Surat Berharga Lainnya,LBUT_JENIS SB,34,
