CHOICELIST,,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,SORT_ORDER,
MASTER,LBUT_SANDI BANK,LBUT_SANDI BANK,,
LBUT_SANDI BANK, , ,,
LBUT_SANDI BANK,BANK RAKYAT INDONESIA,002,,
LBUT_SANDI BANK,BANK MANDIRI,008,1,
LBUT_SANDI BANK,BANK BNI 1946,009,2,
LBUT_SANDI BANK,BANK UMUM NASIONAL (BUN),010,3,
LBUT_SANDI BANK,BANK DANAMON,011,4,
LBUT_SANDI BANK,BANK DAGANG NASIONAL INDONESIA (BDNI),012,5,
LBUT_SANDI BANK,BANK PERMATA,013,6,
LBUT_SANDI BANK,BANK CENTRAL ASIA,014,7,
LBUT_SANDI BANK,BANK MAYBANK INDONESIA,016,8,
LBUT_SANDI BANK,BANK CENTRAL DAGANG,018,9,
LBUT_SANDI BANK,PANIN BANK,019,10,
LBUT_SANDI BANK,BANK CIMB NIAGA,022,11,
LBUT_SANDI BANK,BANK UOB INDONESIA,023,12,
LBUT_SANDI BANK,BANK PESONA KRIYADANA,024,13,
LBUT_SANDI BANK,BANK OCBC NISP,028,14,
LBUT_SANDI BANK,BANK SURYA,029,15,
LBUT_SANDI BANK,CITIBANK,031,16,
LBUT_SANDI BANK,JP MORGAN CHASE BANK N.A.,032,17,
LBUT_SANDI BANK,BANK OF AMERICA,033,18,
LBUT_SANDI BANK,BANK CCB INDONESIA,036,19,
LBUT_SANDI BANK,BANK ARTHA GRAHA INTERNASIONAL,037,20,
LBUT_SANDI BANK,BANGKOK BANK,040,21,
LBUT_SANDI BANK,THE BANK OF TOKYO MITSUBISHI UFJ,042,22,
LBUT_SANDI BANK,BANK DBS INDONESIA,046,23,
LBUT_SANDI BANK,BANK RESONA PERDANIA,047,24,
LBUT_SANDI BANK,BANK MIZUHO INDONESIA,048,25,
LBUT_SANDI BANK,STANDARD CHARTERED BANK,050,26,
LBUT_SANDI BANK,BANK CAPITAL INDONESIA,054,27,
