CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
Customer Type Code,,A,Perorangan test,
Customer Type Code,1,B,Badan Usaha Sws,
Customer Type Code,2,C,Bank,
Customer Type Code,3,D,Lbg.Kg.Non Bank,
Customer Type Code,4,E,Lbg.Pemrth.,
Customer Type Code,5,G,Lbg.Intrnsl.,
Customer Type Code,6,H,Pwkl.Neg.Asing,
Customer Type Code,7,I,Koperasi,
Customer Type Code,8,J,BUMN,
Customer Type Code,9,K,BUMD,
Customer Type Code,10,L,Pen.Modal Asing,
Customer Type Code,11,M,BPR,
Customer Type Code,12,N,Lembaga PEMDA,
Customer Type Code,13,O,Yayasan,
Customer Type Code,14,P,Prsh Securitas,
Customer Type Code,15,Q,PMDN,
Customer Type Code,16,R,Lembaga Nirlaba,
Customer Type Code,17,S,Partai Politik,
Customer Type Code,18,T,Treasury Broker,
Customer Type Code,19,U,Custody,
Customer Type Code,20,V,Konsorsium,
Customer Type Code,21,W,Non KYC-BI,
Customer Type Code,22,X,Non KYC-DK,
Customer Type Code,23,Y,Non KYC-PNM,
Customer Type Code,24,Z,Non Nasabah,
CustomerTypeCode,,A,Perorangan test,
CustomerTypeCode,1,B,Badan Usaha Sws,
CustomerTypeCode,2,C,Bank,
CustomerTypeCode,3,D,Lbg.Kg.Non Bank,
CustomerTypeCode,4,E,Badan Sosial,
CustomerTypeCode,5,F,Lbg.Pemrth.,
CustomerTypeCode,6,G,Lbg.Intrnsl.,
CustomerTypeCode,7,H,Pwkl.Neg.Asing,
CustomerTypeCode,8,I,Koperasi,
CustomerTypeCode,9,J,BUMN,
CustomerTypeCode,10,K,BUMD,
CustomerTypeCode,11,L,Pen.Modal Asing,
CustomerTypeCode,12,M,BPR,
CustomerTypeCode,13,N,Lembaga PEMDA,
CustomerTypeCode,14,O,Yayasan,
CustomerTypeCode,15,P,Prsh Securitas,
CustomerTypeCode,16,Q,PMDN,
CustomerTypeCode,17,R,Lembaga Nirlaba,
CustomerTypeCode,18,S,Partai Politik,
CustomerTypeCode,19,T,Treasury Broker,
CustomerTypeCode,20,U,Custody,
CustomerTypeCode,21,V,Konsorsium,
CustomerTypeCode,22,W,Non KYC-BI,
CustomerTypeCode,23,X,Non KYC-DK,
CustomerTypeCode,24,Y,Non KYC-PNM,
CustomerTypeCode,25,Z,Non Nasabah,
MASTER,,Customer Type Code,Customer Type Code from eMAS,
