YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,/BENCHMARK,/YIELDCURVE
STORAGE_DAYCOUNT,EXTRAPOL_TYPE_SHORT_END,UPDATE_INTERVAL,CURR.INSID,STORAGE_RATE_TYPE,EXTRAPOL_TYPE_LONG_END,USE_BM_DATES,INTERPOLATION_TYPE,YIELD_CURVE_TYPE,CALCULATION_FORMAT,EST_BM_FIXINGS_FROM_CURVE,ESTIMATION_TYPE,STORAGE_CALC_TYPE,DATA,YIELD_CURVE_NAME,REAL_TIME_UPDATED,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,SPREAD_TYPE,,
Act/360,Default,60,EUR,Continuous,Default,1,Linear,Benchmark,Use Storage Format,Yes,Boot Strap,Spot Rate,,EUR-SWAP,1,Spot Rate,Zero Coupon Curve,Interest Rate,EUR/IRS/EU6M-F/2Y,0,,Up,End Date,EUR/IRS/EU6M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,EUR/EURIBOR/12M,0,,Up,End Date,EUR/EURIBOR/12M,No,,
,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/3Y,0,,Up,End Date,EUR/IRS/EU6M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/4Y,0,,Up,End Date,EUR/IRS/EU6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/5Y,0,,Up,End Date,EUR/IRS/EU6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/7Y,0,,Up,End Date,EUR/IRS/EU6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/10Y,0,,Up,End Date,EUR/IRS/EU6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,EUR/EURIBOR/6M,0,,Up,End Date,EUR/EURIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,,EUR/EURIBOR/3M,0,,Up,End Date,EUR/EURIBOR/3M,No,,
,,,,,,,,,,,,,,,,,,,EUR/EURIBOR/1M,0,,Up,End Date,EUR/EURIBOR/1M,No,,
,,,,,,,,,,,,,,,,,,,EUR/EURIBOR/1W,0,,Up,End Date,EUR/EURIBOR/1W,No,,
