YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,FORWARD_PERIOD,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,NZD,,USD-SOFR,Boot Strap,Default,Flat,1d,Linear RT,Spot Rate,Zero Coupon Curve,FX,Spot Rate,Act/360,Continuous,60,1,NZD-FX,Benchmark,NZD-USD/FXS/ON,-0.003887018,,Up,End Date,NZD-USD/FXS/11M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/5M,-0.010362867,,Up,End Date,NZD-USD/FXS/1M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/6M,-0.01042544,,Up,End Date,NZD-USD/FXS/3W,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/7M,-0.01029062,,Up,End Date,NZD-USD/FXS/2W,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/8M,-0.010081642,,Up,End Date,NZD-USD/FXS/1W,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/9M,-0.010149034,,Up,End Date,NZD-USD/FXS/ON,1,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/10M,-0.010083846,,Up,End Date,NZD-USD/FXS/10M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/11M,-0.010045874,,Up,End Date,NZD-USD/FXS/1Y,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/1Y,-0.010014818,,Up,End Date,NZD-USD/FXS/9M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/1W,-0.007090433,,Up,End Date,NZD-USD/FXS/8M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/2W,-0.007597666,,Up,End Date,NZD-USD/FXS/7M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/3W,-0.007926648,,Up,End Date,NZD-USD/FXS/6M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/1M,-0.008366918,,Up,End Date,NZD-USD/FXS/5M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/2M,-0.012058557,,Up,End Date,NZD-USD/FXS/4M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/3M,-0.011325682,,Up,End Date,NZD-USD/FXS/3M,,No,,
,,,,,,,,,,,,,,,,,,,NZD-USD/FXS/4M,-0.010727196,,Up,End Date,NZD-USD/FXS/2M,,No,,
