INSTRUMENT,,,,,,,,,,,LEG,,,,,,,,,,,,,,,,,,,CASHFLOW,,,,,,,/CASHFLOW,/LEG,/INSTRUMENT
CONTR_SIZE,CURR.INSID,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,EXP_DAY,INSID,INSTYPE,OTC,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SPOT_BANKING_DAYS_OFFSET,CURR.INSID,DAYCOUNT_METHOD,END_DATE_METHOD,END_DAY,FIXED_RATE,INTEREST_PAYMENT_TIME,IS_LOCKED,NOMINAL_AT_END,NOMINAL_AT_START,NOMINAL_FACTOR,NOMINAL_SCALING,PAYLEG,PAY_CALNBR.CALID,PAY_DAY_METHOD,ROLLING_BASE_DAY,ROLLING_CONVENTION,ROLLING_PERIOD,START_DAY,TYPE,END_DAY,FIXED_AMOUNT,NOMINAL_FACTOR,PAY_DAY,RATE,START_DAY,TYPE,,,
1000000,USD,CCS-BASIS,DiscType,2024-12-27,USD-IDR/CCS/F-F/211227-241227/1.00,CurrSwap,Yes,Business Days,Per Unit,2,USD,Act/360,Relative Start,2024-12-27,1,In Arrears,No,Yes,Yes,1,None,Yes,New York,Following,2024-12-27,None,6m,2021-12-27,Fixed,,-1,1,2021-12-27,,,Fixed Amount,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-27,,1,2022-06-27,1,2021-12-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-27,,1,2022-12-27,1,2022-06-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-27,,1,2023-06-27,1,2022-12-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-27,,1,2023-12-27,1,2023-06-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-27,,1,2024-06-27,1,2023-12-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27,,1,2024-12-27,1,2024-06-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-27,,,Fixed Amount,,,
,,,,,,,,,,,IDR,Act/360,Relative Start,2024-12-27,5,In Arrears,No,Yes,Yes,16000,None,No,Jakarta,Following,2024-12-27,None,6m,2021-12-27,Fixed,,-1,1,2021-12-27,,,Fixed Amount,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-27,,1,2022-06-27,5,2021-12-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-27,,1,2022-12-27,5,2022-06-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-27,,1,2023-06-27,5,2022-12-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-27,,1,2023-12-27,5,2023-06-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-27,,1,2024-06-27,5,2023-12-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27,,1,2024-12-27,5,2024-06-27,Fixed Rate,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2024-12-27,,,Fixed Amount,,,
