INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,CASHFLOW,,,,,,,,RESET,,,,/RESET,/CASHFLOW,/LEG,/INSTRUMENT
CONTR_SIZE,CURR.INSID,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,EXERCISE_TYPE,EXP_DAY,EXP_TIME,INSID,INSTYPE,ISSUER_PTYNBR.PTYID,ISSUER_PTYNBR.RED_CODE,MTM_FROM_FEED,OPTION_TYPE,OTC,PAYTYPE,PAY_DAY_OFFSET,PAY_OFFSET_METHOD,PRODUCT_CHLNBR.ENTRY,PRODUCT_CHLNBR.LIST,QUANTO_OPTION_TYPE,QUOTATION_SEQNBR.NAME,SETTLEMENT,SPOT_BANKING_DAYS_OFFSET,STRIKE_CURR.INSID,STRIKE_PRICE,STRIKE_QUOTATION_SEQNBR.NAME,STRIKE_TYPE,UND_INSADDR.INSID,UND_INSTYPE,CURR.INSID,DAYCOUNT_METHOD,DECIMALS,END_DATE_METHOD,END_DAY,FIXED_RATE,FLOAT_RATE.EXTERN_ID1,FLOAT_RATE.INSID,FLOAT_RATE_FACTOR,INTEREST_PAYMENT_TIME,NOMINAL_AT_END,NOMINAL_FACTOR,PAYLEG,PAY_CALNBR.CALID,PAY_DAY_METHOD,RESET_CALNBR.CALID,RESET_DAY_METHOD,RESET_DAY_OFFSET,RESET_TYPE,ROLLING_BASE_DAY,ROLLING_CONVENTION,ROLLING_PERIOD,ROUNDING,START_DAY,TYPE,END_DAY,FIXED_AMOUNT,FLOAT_RATE_FACTOR,NOMINAL_FACTOR,PAY_DAY,RATE,START_DAY,TYPE,DAY,READ_TIME,TYPE,VALUE,,,,
1000,USD,IBOR,DiscType,,2031-10-20,,Bond Example,Bond,Issuer 1,9A3AAAAA,Yes,,,,,Business Days,RateIndex,ValGroup,,Clean,,2,,,,,,,USD,Act/360,,Relative Start,2031-10-20,3.6,,,,In Arrears,Yes,1,No,New York,Following,,,,,2031-10-20,None,0d,,2021-10-20,Fixed,2031-10-20,,,1,2031-10-20,3.6,2021-10-20,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2031-10-20,,,Fixed Amount,,,,,,,,
1000000,USD,,,European,2023-01-27,2023-01-26 16:00:00 UTC,FX Option Example,Option,,,,Put,Yes,Spot,1,Business Days,,,,Points of UndCurr,Physical Delivery,2,USD,2,Per Unit,Absolute,EUR,Curr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000,USD,IBOR,DiscType,,2027-10-25,,Swap Example,Swap,,,,,Yes,,,Business Days,RateIndex,ValGroup,,Per Unit,,2,,,,,,,USD,Act/360,5,Relative Start,2027-10-25,,US0012M,USD/LIBOR/12M,1,In Arrears,,1,Yes,New York,Mod. Following,London,Mod. Following,-2,Single,2027-10-24,EOM Cal Days,12m,Normal,2022-10-24,Float,2026-10-26,,1,1,2026-10-26,,2025-10-24,Float Rate,2025-10-22,,Single,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-10-25,,1,1,2027-10-25,,2026-10-26,Float Rate,2026-10-22,,Single,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-24,,1,1,2023-10-24,,2022-10-24,Float Rate,2022-10-20,2022-10-19 20:00:00 UTC,Single,1.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-24,,1,1,2024-10-24,,2023-10-24,Float Rate,2023-10-20,,Single,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24,,1,1,2025-10-24,,2024-10-24,Float Rate,2024-10-22,,Single,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,30/360,,Relative Start,2027-10-25,3.6,,,,In Arrears,,1,No,New York,Mod. Following,,,,,2027-10-24,EOM Cal Days,6m,,2022-10-24,Fixed,2023-04-24,,,1,2023-04-24,3.6,2022-10-24,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-24,,,1,2023-10-24,3.6,2023-04-24,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-24,,,1,2024-04-24,3.6,2023-10-24,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-24,,,1,2024-10-24,3.6,2024-04-24,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24,,,1,2025-04-24,3.6,2024-10-24,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24,,,1,2025-10-24,3.6,2025-04-24,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24,,,1,2026-04-24,3.6,2025-10-24,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-10-26,,,1,2026-10-26,3.6,2026-04-24,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-04-26,,,1,2027-04-26,3.6,2026-10-26,Fixed Rate,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-10-25,,,1,2027-10-25,3.6,2027-04-26,Fixed Rate,,,,,,,,
1000000,USD,,,European,2023-01-26,2023-01-25 16:00:00 UTC,Swaption Example,Option,,,,Payer,Yes,Forward,2,Business Days,,,Compo,Pctpct of Nom,Physical Delivery,2,USD,1.49336,,Absolute,EUR/IRS/EU6M-F/10Y,Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
