TRADE,,,,,,,,,,,,,,,,,,,,,/TRADE
STATUS,QUANTITY,PREMIUM,CURR.INSID,PRFNBR.PRFID,TYPE,ACQUIRE_DAY,VALUE_DAY,TIME,PRICE,REFERENCE_PRICE,DISC_TYPE_CHLNBR.ENTRY,INTEREST_RATE_AT_TRADE_TIME,ACQUIRER_PTYNBR.PTYID,TRADE_PROCESS,TRADER_USRNBR.USERID,DISC_TYPE_CHLNBR.LIST,TEXT1,INSADDR.INSID,PRFNBR.ASSINF,COUNTERPARTY_PTYNBR.PTYID,
FO Confirmed,1000000,-110000000,JPY,VaR Test Portfolio,Normal,10/28/2022,10/28/2022,2022-10-26 14:17:43 UTC,110,110,IBOR,,Acquirer 1,4096,ARENASYS,DiscType,,USD,DEFAULT_POOL,Counterparty 1,
FO Confirmed,5,0,USD,VaR Test Portfolio,Normal,10/28/2022,10/28/2022,2022-10-26 14:13:28 UTC,0,,,,Acquirer 1,,ARENASYS,,,Swaption Example,DEFAULT_POOL,Counterparty 1,
FO Confirmed,1000000,-2000000000,USD,VaR Test Portfolio,Normal,10/28/2022,10/28/2022,2022-10-26 13:06:54 UTC,20,,,,Acquirer 2,,ARENASYS,,,FX Option Example,DEFAULT_POOL,Counterparty 1,
FO Confirmed,1000000,-20000000,CAD,VaR Test Portfolio,Normal,1/27/2023,1/27/2023,2022-10-26 13:06:06 UTC,20,20,,-3.85E-05,Acquirer 1,8192,ARENASYS,,,USD,DEFAULT_POOL,Counterparty 1,
Simulated,1000000,-120000000,USD,VaR Test Portfolio,Normal,10/20/2022,10/20/2022,2022-10-20 13:39:18 UTC,120,,,,Acquirer 1,,ARENASYS,,ss,BMW,DEFAULT_POOL,Counterparty 1,
FO Confirmed,1,0,USD,VaR Test Portfolio,Normal,10/24/2022,10/24/2022,2022-10-20 12:27:19 UTC,0,,,,Acquirer 1,,ARENASYS,,,Swap Example,DEFAULT_POOL,Counterparty 1,
FO Confirmed,5000000,-750000000,USD,VaR Test Portfolio,Normal,7/12/2022,7/12/2022,2022-07-09 20:00:00 UTC,150,,,,Acquirer 1,,ARENASYS,,,BMW,DEFAULT_POOL,Counterparty 1,
FO Confirmed,2000,-2233200,USD,VaR Test Portfolio,Normal,10/21/2022,10/21/2022,2022-10-19 08:48:25 UTC,108,,,,Acquirer 1,,ARENASYS,,,Bond Example,DEFAULT_POOL,Counterparty 1,
FO Confirmed,8000,-8650400,USD,VaR Test Portfolio,Normal,8/29/2022,8/29/2022,2022-08-25 20:00:00 UTC,105,,,,Acquirer 1,,ARENASYS,,,Bond Example,DEFAULT_POOL,Counterparty 1,
FO Confirmed,-3000,3241800,USD,VaR Test Portfolio,Normal,8/22/2022,8/22/2022,2022-08-17 20:00:00 UTC,105,,,,Acquirer 1,,ARENASYS,,,Bond Example,DEFAULT_POOL,Counterparty 1,
FO Confirmed,4000,-4309200,USD,VaR Test Portfolio,Normal,7/20/2022,7/20/2022,2022-07-17 20:00:00 UTC,105,,,,Acquirer 1,,ARENASYS,,,Bond Example,DEFAULT_POOL,Counterparty 1,
FO Confirmed,1000,-1071200,USD,VaR Test Portfolio,Normal,5/20/2022,5/20/2022,2022-05-17 20:00:00 UTC,105,,,,Acquirer 1,,ARENASYS,,,Bond Example,DEFAULT_POOL,Counterparty 1,
FO Confirmed,3000000,-300000000,USD,VaR Test Portfolio,Normal,10/3/2022,10/3/2022,2022-10-01 20:00:00 UTC,100,,,,Acquirer 1,,ARENASYS,,,BMW,DEFAULT_POOL,Counterparty 1,
FO Confirmed,2000000,-200000000,USD,VaR Test Portfolio,Normal,9/20/2022,9/20/2022,2022-08-16 20:00:00 UTC,100,,,,Acquirer 1,,ARENASYS,,,BMW,DEFAULT_POOL,Counterparty 1,
FO Confirmed,1000000,-100000000,USD,VaR Test Portfolio,Normal,9/20/2022,9/20/2022,2022-09-16 20:00:00 UTC,100,,,,Acquirer 1,,ARENASYS,,,BMW,DEFAULT_POOL,Counterparty 1,
